日付,施設名,イベント名,開始時刻,終了時刻,開催場所,対象:6か月まで,対象:0歳,対象:1歳,対象:2歳,対象:3歳以上,対象:パパ,対象:プレ,参加費,申込要否,イベントURL,備考
2026/05/19,はっち,1歳児さんあつまれ〜,10:10,11:00,研修室,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,,
2026/05/21,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/05/22,はっち,子育てパートナー相談,10:30,12:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,【1】10:30～ 【2】11:30～
2026/05/23,はっち,子サポ入会説明会,14:30,15:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/05/27,はっち,ピアノのしらべ,10:30,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/28,はっち,心理士さんとひろばで話せるよ,10:30,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/29,はっち,おしゃべりタイム アラフォー集まれ！,10:10,11:10,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/05/30,はっち,赤ちゃんふれあいyoga体験,10:00,11:15,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,,受付 9:50～
2026/06/03,はっち,赤ちゃん相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/05,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/05,その他,公園であそぼう！,10:30,11:30,笹下中央公園,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,現地集合（雨天中止）
2026/06/06,はっち,でんしゃのへや,10:00,15:15,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/09,はっち,子サポ入会説明会,10:30,11:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/10,はっち,子育てパートナー相談,10:30,12:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,【1】10:30～ 【2】11:30～
2026/06/11,はっち,おしゃべりタイム 出身地別で話そう！,10:10,11:10,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/12,はっち,あかちゃんのへや,10:00,11:15,研修室,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/06/13,はっち,パパ日和,10:10,11:10,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,無料,TRUE,,
2026/06/16,はっち,1歳児・2歳児さんあつまれ〜,10:00,11:30,研修室,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/06/18,はっち,なないろ,10:10,11:00,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/19,日下地域ケアプラザ,出張はっち！,10:30,11:30,日下地域ケアプラザ,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/20,はっち,初めての沐浴体験,13:00,15:30,研修室,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,無料,TRUE,,【1】13:00～14:00 【2】14:30～15:30
2026/06/23,はっち,保育・教育コンシェルジュ相談,10:00,11:40,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,
2026/06/24,はっち,パパの赤ちゃん教室,10:00,11:00,研修室,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,無料,FALSE,,
2026/06/25,はっち,心理士さんとひろばで話せるよ,10:30,11:30,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,FALSE,,
2026/06/26,はっち,ピアノのしらべ,10:30,11:00,ひろば,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,FALSE,,
2026/06/27,はっち,子サポ入会説明会,14:30,15:30,研修室,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,無料,TRUE,,
2026/06/30,はっち,おむつはずれのはなし,10:15,11:15,研修室,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,無料,TRUE,,育児支援講座
2026/05/19,はっちサテライト,あかちゃんのへや,10:00,11:15,赤ちゃんコーナー,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,FALSE,,
2026/05/19,いそピヨ,はじめての離乳食教室,10:00,11:45,研修室,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,無料,TRUE,https://isopiyo-isogo.com/calendar/%e3%81%af%e3%81%98%e3%82%81%e3%81%a6%e3%81%ae%e9%9b%a2%e4%b9%b3%e9%a3%9f%e6%95%99%e5%ae%a4-17/,
